_id,wdt_counter,program_version,time_stamp,latitude,longitude,air_temp,air_pressure,bottom_distance,water_temp,surface_distance,battery_voltage,gps_satellites,iridium_signal,iridium_retries,dtc_values_0,dtc_values_1,dtc_values_2,dtc_values_3,dtc_values_4,dtc_values_5,dtc_values_6,dtc_values_7,dtc_values_8,dtc_values_9,dtc_values_10,dtc_values_11,dtc_values_12,dtc_values_13,dtc_values_14,dtc_values_15,dtc_values_16,dtc_values_17,dtc_values_18,dtc_values_19,dtc_values_20,dtc_values_21,dtc_values_22,dtc_values_23,dtc_values_24,dtc_values_25,dtc_values_26,dtc_values_27,dtc_values_28,dtc_values_29,dtc_values_30,dtc_values_31,dtc_values_32,dtc_values_33,dtc_values_34,dtc_values_35,dtc_values_36,dtc_values_37,dtc_values_38,dtc_values_39,dtc_values_40,dtc_values_41,dtc_values_42,dtc_values_43,dtc_values_44,dtc_values_45,dtc_values_46,dtc_values_47,dtc_values_48,dtc_values_49,dtc_values_50,dtc_values_51,dtc_values_52,dtc_values_53,dtc_values_54,dtc_values_55,dtc_values_56,dtc_values_57,dtc_values_58,dtc_values_59,dtc_values_60,dtc_values_61,dtc_values_62,dtc_values_63,dtc_values_64,dtc_values_65,dtc_values_66,dtc_values_67,dtc_values_68,dtc_values_69,dtc_values_70,dtc_values_71,dtc_values_72,dtc_values_73,dtc_values_74,dtc_values_75,dtc_values_76,dtc_values_77,dtc_values_78,dtc_values_79,dtc_values_80,dtc_values_81,dtc_values_82,dtc_values_83,dtc_values_84,dtc_values_85,dtc_values_86,dtc_values_87,dtc_values_88,dtc_values_89,dtc_values_90,dtc_values_91,dtc_values_92,dtc_values_93,dtc_values_94,dtc_values_95,dtc_values_96,dtc_values_97,dtc_values_98,dtc_values_99,dtc_values_100,dtc_values_101,dtc_values_102,dtc_values_103,dtc_values_104,dtc_values_105,dtc_values_106,dtc_values_107,dtc_values_108,dtc_values_109,dtc_values_110,dtc_values_111,dtc_values_112,dtc_values_113,dtc_values_114,dtc_values_115,dtc_values_116,dtc_values_117,dtc_values_118,dtc_values_119,dtc_values_120,dtc_values_121,dtc_values_122,dtc_values_123,dtc_values_124,dtc_values_125,dtc_values_126,dtc_values_127,dtc_values_128,dtc_values_129,dtc_values_130,dtc_values_131,dtc_values_132,dtc_values_133,dtc_values_134,dtc_values_135,dtc_values_136,dtc_values_137,dtc_values_138,dtc_values_139,dtc_values_140,dtc_values_141,dtc_values_142,dtc_values_143,dtc_values_144,dtc_values_145,dtc_values_146,dtc_values_147,dtc_values_148,dtc_values_149,dtc_values_150,dtc_values_151,dtc_values_152,dtc_values_153,dtc_values_154,dtc_values_155,dtc_values_156,dtc_values_157,dtc_values_158,dtc_values_159,filename
68e84bf8a2c5e9e9343658b6,1,8,1760054190,76.100608,-132.946624,-17.0625,1002,1.96,-2.41,1.117,18.17,11,5,0,-17.125,-17,-17.125,-17.125,-17.1875,-16.9375,-17,-17.0625,-16.9375,-16.8125,-16.9375,-16.9375,-16.8125,-16.9375,-17,-17.0625,-17.0625,-16.9375,-17,-16.9375,-16.8125,-16.875,-16.75,-16.8125,-16.875,-16.9375,-16.75,-16.875,-16.6875,-16.625,-16.625,-16.75,-16.625,-16.3125,-16.4375,-15.8125,-14.9375,-13.1875,-11.3125,-9.0625,-7.4375,-6.9375,-5.9375,-4.8125,-3.6875,-3.4375,-3.5,-3.25,-2.875,-2.625,-2.75,-2.75,-2.5,-2.5,-2.5,-2.5625,-2.6875,-2.6875,-2.5625,-2.6875,-2.625,-3.0625,-2.75,-2.75,-2.75,-2.75,-2.875,-2.75,-2.6875,-2.6875,-2.875,-2.75,-2.8125,-2.5625,-2.75,-2.875,-2.6875,-2.75,-2.5,-2.375,-1.9375,-2.125,-2.125,-2.1875,-2.0625,-2,-2.3125,-2.1875,-2,-2.6875,-2.75,-2.75,-2.75,-2.875,-2.75,-2.6875,-2.6875,-2.875,-2.8125,-2.625,-2.5625,-2.625,-2.75,-2.75,-2.625,-2.5625,-2.375,-2.5,-2.5625,-2.5625,-2.4375,-2.5625,-2.5625,-2.75,-2.5625,-2.625,-2.5,-2.6875,-2.6875,-2.375,-2.5625,-2.5,-2.625,-2.625,-2.625,-2.625,-2.5,-2.5,-2.625,-2.625,-2.5625,-2.5625,-2.75,-2.75,-2.625,-2.5,-2.5,-2.75,-2.625,-2.5,-2.5,-2.625,-2.5625,-2.6875,-2.625,-2.375,-2.4375,-2.375,-2.4375,-2.625,-2.375,-2.375,-2.5625,-2.6875,-2.4375,-2.5,-2.5625,-2.75,-2.6875,-2.75,301434061843360_000003.sbd
68e84cf4a2c5e9e93436590c,2,8,1760054430,76.100424,-132.946168,-16.9375,1002,1.98,-2.08,1.118,18.28,7,5,0,-16.875,-16.8125,-16.875,-16.875,-16.9375,-16.75,-16.8125,-16.875,-16.6875,-16.5625,-16.75,-16.75,-16.6875,-16.75,-16.875,-16.9375,-16.875,-16.8125,-16.875,-16.8125,-16.6875,-16.6875,-16.625,-16.6875,-16.75,-16.75,-16.625,-16.75,-16.5625,-16.5,-16.5,-16.5625,-16.375,-15,-14.0625,-12.25,-11.5,-10.25,-8.25,-5.625,-4.125,-3.875,-3.625,-3.375,-2.875,-2.625,-2.5625,-2.3125,-2.125,-2,-2.0625,-2.0625,-1.875,-1.875,-1.9375,-2,-2,-2.0625,-1.9375,-2.0625,-2,-2.25,-2,-2,-2.0625,-2.0625,-2.125,-2.125,-2,-2.0625,-2.25,-2.125,-2.1875,-2.0625,-2.1875,-2.375,-2.3125,-2.3125,-2.125,-2.0625,-1.8125,-1.8125,-1.625,-1.6875,-1.5625,-1.5625,-1.8125,-1.6875,-1.5,-2.0625,-2.1875,-2.0625,-2.0625,-2.125,-2.125,-2.0625,-2.0625,-2.1875,-2.125,-2,-2,-2.0625,-2.125,-2.125,-2,-2,-1.875,-2,-1.9375,-1.9375,-1.9375,-2,-1.9375,-2.0625,-1.9375,-2,-1.875,-2,-2.0625,-1.875,-2,-1.9375,-2,-1.9375,-2.0625,-2.0625,-2,-1.9375,-2,-1.9375,-1.9375,-2,-2.0625,-2.0625,-2,-1.875,-1.875,-2.0625,-1.9375,-1.875,-1.875,-2.0625,-1.9375,-2.0625,-2.0625,-1.875,-1.9375,-1.875,-1.875,-2.125,-1.9375,-1.9375,-2,-2.125,-1.9375,-2.0625,-2.125,-2.1875,-2.125,-2.1875,301434061843360_000004.sbd
68e8850da2c5e9e934365a23,3,8,1760068830,76.088904,-132.906648,-12.9375,999.7,1.98,-1.85,1.093,18.35,6,5,0,-12.875,-12.8125,-12.9375,-12.875,-12.9375,-12.75,-12.8125,-12.8125,-12.75,-12.625,-12.8125,-12.75,-12.6875,-12.75,-12.8125,-12.9375,-12.8125,-12.75,-12.875,-12.8125,-12.6875,-12.6875,-12.5625,-12.6875,-12.6875,-12.75,-12.5625,-12.6875,-12.5,-12.5,-12.375,-12.1875,-11.625,-10.5625,-8.9375,-6.6875,-5,-3.8125,-3,-2.5,-2.125,-2.0625,-1.875,-1.8125,-1.5625,-1.5625,-1.625,-1.4375,-1.4375,-1.375,-1.4375,-1.4375,-1.375,-1.375,-1.375,-1.4375,-1.4375,-1.5,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.3125,-1.375,-1.375,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.5,-1.625,-1.5,-1.375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.375,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5625,-1.4375,-1.5,-1.375,-1.4375,-1.375,-1.375,-1.375,-1.5,-1.3125,-1.5,-1.4375,-1.5,-1.4375,-1.4375,-1.5,-1.3125,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.4375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5625,-1.375,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.375,-1.5625,-1.5,-1.5,-1.5,-1.6875,-1.5625,-1.625,-1.625,-1.625,-1.5625,-1.5625,301434061843360_000005.sbd
68e8bd51a2c5e9e934365acc,4,8,1760083230,76.071224,-132.837024,-9.0625,998,1.98,-1.85,1.098,18.33,10,5,0,-9.125,-9.0625,-9.125,-9.125,-9.1875,-9,-9.0625,-9.0625,-9,-8.875,-9,-9,-8.9375,-9,-9.0625,-9.125,-9.0625,-9.0625,-9.0625,-9.0625,-8.9375,-8.9375,-8.875,-8.9375,-8.9375,-9,-8.875,-8.9375,-8.8125,-8.75,-8.6875,-8.4375,-7.5,-6.5,-5.75,-4.875,-4.4375,-3.6875,-3.125,-2.5625,-2.0625,-1.8125,-1.5625,-1.625,-1.4375,-1.4375,-1.5,-1.4375,-1.375,-1.3125,-1.4375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.3125,-1.375,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.4375,-1.625,-1.5,-1.4375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5625,-1.4375,-1.375,-1.4375,-1.5,-1.5,-1.5,-1.4375,-1.5,-1.375,-1.5,-1.375,-1.375,-1.4375,-1.5,-1.3125,-1.5,-1.4375,-1.5,-1.4375,-1.4375,-1.4375,-1.3125,-1.4375,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5625,-1.25,-1.4375,-1.4375,-1.375,-1.5,-1.375,-1.3125,-1.5625,-1.5,-1.4375,-1.4375,-1.625,-1.5,-1.5625,-1.5625,-1.5625,-1.5625,-1.5,301434061843360_000006.sbd
68e8f5992d8ac0ceb036587c,5,8,1760097630,76.04824,-132.787432,-7.375,997.5,2,-1.83,1.09,18.33,4,5,0,-7.3125,-7.25,-7.3125,-7.3125,-7.375,-7.1875,-7.25,-7.25,-7.1875,-7.0625,-7.1875,-7.125,-7.125,-7.1875,-7.25,-7.3125,-7.25,-7.1875,-7.25,-7.1875,-7.0625,-7.0625,-7,-7.125,-7.125,-7.1875,-7,-7.125,-7,-7,-6.9375,-6.5625,-5.875,-5.125,-4.6875,-4.0625,-3.75,-3.25,-2.75,-2.1875,-1.8125,-1.6875,-1.5625,-1.625,-1.4375,-1.4375,-1.5,-1.4375,-1.375,-1.375,-1.4375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5625,-1.25,-1.3125,-1.3125,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.5,-1.625,-1.5,-1.375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5,-1.4375,-1.5,-1.375,-1.5,-1.3125,-1.375,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.5,-1.375,-1.4375,-1.4375,-1.3125,-1.5,-1.375,-1.4375,-1.375,-1.5,-1.5625,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.4375,-1.375,-1.5,-1.375,-1.375,-1.375,-1.5,-1.375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.4375,-1.4375,-1.625,-1.5,-1.5625,-1.5625,-1.5625,-1.5,-1.5,301434061843360_000007.sbd
68e92dfd2d8ac0ceb03659b9,6,8,1760112030,76.024888,-132.749024,-4.9375,997.2,2,-1.85,1.089,18.3,9,5,0,-4.875,-4.875,-4.9375,-4.875,-4.9375,-4.8125,-4.8125,-4.875,-4.8125,-4.6875,-4.8125,-4.8125,-4.75,-4.8125,-4.875,-4.9375,-4.875,-4.875,-4.9375,-4.875,-4.75,-4.75,-4.6875,-4.8125,-4.75,-4.875,-4.75,-4.8125,-4.6875,-4.6875,-4.75,-4.75,-4.5625,-4.125,-4,-3.5,-3.375,-2.875,-2.4375,-1.9375,-1.75,-1.625,-1.5625,-1.6875,-1.5,-1.5,-1.625,-1.625,-1.625,-1.5625,-1.625,-1.5625,-1.4375,-1.375,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.3125,-1.375,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.5,-1.625,-1.5,-1.4375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5625,-1.4375,-1.5,-1.375,-1.5,-1.375,-1.375,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.5,-1.375,-1.4375,-1.4375,-1.3125,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5,-1.5,-1.4375,-1.4375,-1.375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5,-1.375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.3125,-1.5625,-1.4375,-1.4375,-1.4375,-1.5625,-1.5,-1.5625,-1.5625,-1.5625,-1.5,-1.5,301434061843360_000008.sbd
68e9660ea2c5e9e934365e21,7,8,1760126430,75.994656,-132.685088,-3.3125,997.7,2.02,-1.85,1.077,18.35,11,4,0,-3,-2.9375,-3.0625,-3,-3.0625,-2.875,-2.9375,-2.9375,-2.9375,-2.75,-2.9375,-2.9375,-2.8125,-2.9375,-3,-3,-3,-3,-3,-3,-2.875,-2.9375,-2.875,-3,-3,-3.0625,-2.9375,-3.0625,-2.9375,-3.0625,-3.125,-3.25,-3.25,-3.125,-3.25,-2.9375,-2.9375,-2.5625,-2.125,-1.6875,-1.625,-1.5625,-1.5,-1.5625,-1.4375,-1.4375,-1.5,-1.5,-1.4375,-1.375,-1.4375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.3125,-1.3125,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.375,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.4375,-1.625,-1.5,-1.4375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5625,-1.4375,-1.5,-1.375,-1.5,-1.375,-1.375,-1.375,-1.5,-1.375,-1.5,-1.4375,-1.5,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.4375,-1.375,-1.375,-1.5,-1.5625,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5625,-1.5,-1.4375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.3125,-1.5,-1.4375,-1.4375,-1.4375,-1.5625,-1.5,-1.5625,-1.5625,-1.5625,-1.5,-1.5,301434061843360_000009.sbd
68e99e812d8ac0ceb0365bb7,8,8,1760140830,75.957968,-132.68092,-4.75,999.4,2.02,-1.85,1.074,18.3,11,5,0,-4.625,-4.5625,-4.6875,-4.625,-4.75,-4.5625,-4.5625,-4.625,-4.5625,-4.4375,-4.5625,-4.5625,-4.5,-4.5625,-4.625,-4.6875,-4.625,-4.625,-4.6875,-4.625,-4.5,-4.5625,-4.5,-4.5625,-4.5625,-4.6875,-4.5,-4.625,-4.5,-4.5,-4.1875,-3.75,-3.375,-3.0625,-3,-2.6875,-2.6875,-2.25,-1.875,-1.5625,-1.5,-1.5,-1.4375,-1.5625,-1.375,-1.375,-1.5,-1.375,-1.375,-1.375,-1.4375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.375,-1.375,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.4375,-1.625,-1.5,-1.375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5,-1.4375,-1.5,-1.375,-1.4375,-1.375,-1.375,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.4375,-1.375,-1.4375,-1.4375,-1.375,-1.5,-1.375,-1.375,-1.375,-1.5625,-1.5625,-1.5,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5625,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.3125,-1.5,-1.4375,-1.4375,-1.4375,-1.625,-1.5,-1.5625,-1.5625,-1.5,-1.5625,-1.5,301434061843360_000010.sbd
68e9d6932d8ac0ceb0365c7a,9,8,1760155230,75.93388,-132.665024,-3.8125,999.6,2.04,-1.85,1.075,18.28,10,5,0,-3.875,-3.75,-3.875,-3.875,-3.875,-3.75,-3.75,-3.8125,-3.75,-3.625,-3.75,-3.75,-3.6875,-3.75,-3.8125,-3.875,-3.8125,-3.8125,-3.8125,-3.8125,-3.6875,-3.6875,-3.625,-3.75,-3.75,-3.8125,-3.6875,-3.8125,-3.625,-3.625,-3.5,-3.4375,-3.25,-3,-2.9375,-2.5625,-2.5,-2.125,-1.8125,-1.5,-1.5,-1.5,-1.4375,-1.5,-1.4375,-1.375,-1.5,-1.375,-1.375,-1.3125,-1.375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.5,-1.4375,-1.375,-1.5,-1.375,-1.5,-1.25,-1.3125,-1.375,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.3125,-1.125,-1.25,-1.4375,-1.4375,-1.375,-1.375,-1.4375,-1.625,-1.5,-1.375,-1.4375,-1.3125,-1.3125,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5625,-1.4375,-1.375,-1.375,-1.5,-1.5,-1.5625,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.375,-1.375,-1.5,-1.3125,-1.5,-1.4375,-1.5,-1.4375,-1.4375,-1.5,-1.3125,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.375,-1.4375,-1.5,-1.375,-1.375,-1.375,-1.5625,-1.3125,-1.4375,-1.4375,-1.375,-1.5,-1.375,-1.3125,-1.5625,-1.5,-1.4375,-1.4375,-1.625,-1.5,-1.5625,-1.5625,-1.5625,-1.5625,-1.5,301434061843360_000011.sbd
68ea0ed02d8ac0ceb0365d27,10,8,1760169630,75.905928,-132.620528,-4.25,1000.2,2.04,-1.85,1.067,18.28,6,5,0,-4.4375,-4.375,-4.4375,-4.375,-4.5,-4.3125,-4.375,-4.375,-4.3125,-4.25,-4.3125,-4.3125,-4.25,-4.3125,-4.375,-4.4375,-4.4375,-4.375,-4.4375,-4.375,-4.25,-4.3125,-4.1875,-4.3125,-4.3125,-4.375,-4.25,-4.375,-4.25,-4.125,-3.8125,-3.5,-3.1875,-2.875,-2.875,-2.5,-2.4375,-2.125,-1.75,-1.5,-1.5,-1.4375,-1.375,-1.5,-1.375,-1.375,-1.4375,-1.375,-1.375,-1.3125,-1.375,-1.4375,-1.3125,-1.3125,-1.375,-1.4375,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.5,-1.25,-1.375,-1.375,-1.3125,-1.3125,-1.375,-1.3125,-1.3125,-1.3125,-1.3125,-1.375,-1.125,-1.25,-1.4375,-1.375,-1.375,-1.375,-1.5,-1.625,-1.5,-1.375,-1.4375,-1.3125,-1.25,-1.5,-1.4375,-1.1875,-1.3125,-1.4375,-1.4375,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5625,-1.5,-1.375,-1.4375,-1.5,-1.5,-1.5625,-1.4375,-1.5,-1.375,-1.5,-1.375,-1.375,-1.4375,-1.5,-1.375,-1.5,-1.4375,-1.5,-1.375,-1.4375,-1.4375,-1.3125,-1.4375,-1.4375,-1.4375,-1.375,-1.5,-1.5625,-1.5,-1.4375,-1.4375,-1.4375,-1.4375,-1.5,-1.5,-1.5,-1.5,-1.375,-1.375,-1.5,-1.375,-1.375,-1.375,-1.5,-1.3125,-1.4375,-1.4375,-1.375,-1.4375,-1.375,-1.3125,-1.5,-1.5,-1.4375,-1.4375,-1.625,-1.5,-1.5625,-1.5625,-1.5625,-1.5625,-1.5,301434061843360_000012.sbd
