id,unit,fieldName,fieldType,precision,description,databaseName
0,mBar,Barometric Pressure,isGeneral,0,"Bosch BME280 combination pressure, temperature and humidity sensor.",air_pressure
1,C,Air Temperature,isGeneral,3,DS18B20 air temperature sensor located at the top of the buoy surounded by a radiation shield. Located approximately 1.2 meters above the ice surface.,air_temp
2,V,Battery Voltage,isGeneral,2,Batter voltage of the SIMB3 internal battery,battery_voltage
3,C,Water Temperature,isGeneral,2,Temperature taken at the underwater rangefinder,water_temp
4,m,Bottom Distance,isGeneral,2,Distance from the underwater rangefinder to the ice/ocean interface,bottom_distance
5,m,Surface Distance,isGeneral,3,Distance from the above-surface rangefinder to the ice/snow surface,surface_distance
6,seconds (unix),Time Stamp,isTimestamp,3,Time of transmission in Unix format,time_stamp
7,deg,Latitude,isLatitude,2,Latitude coordinate,latitude
8,deg,Longitude,isLongitude,2,Longitude coordinate,longitude
9,C,Digital Temperature String Value 0,isGeneral,3,DS28EAOO temperature chip located approximately 70 cm above freeboard,dtc_values_0
10,C,Digital Temperature String Value 1,isGeneral,3,DS28EAOO temperature chip located approximately 68 cm above freeboard,dtc_values_1
11,C,Digital Temperature String Value 2,isGeneral,3,DS28EAOO temperature chip located approximately 66 cm above freeboard,dtc_values_2
12,C,Digital Temperature String Value 3,isGeneral,3,DS28EAOO temperature chip located approximately 64 cm above freeboard,dtc_values_3
13,C,Digital Temperature String Value 4,isGeneral,3,DS28EAOO temperature chip located approximately 62 cm above freeboard,dtc_values_4
14,C,Digital Temperature String Value 5,isGeneral,3,DS28EAOO temperature chip located approximately 60 cm above freeboard,dtc_values_5
15,C,Digital Temperature String Value 6,isGeneral,3,DS28EAOO temperature chip located approximately 58 cm above freeboard,dtc_values_6
16,C,Digital Temperature String Value 7,isGeneral,3,DS28EAOO temperature chip located approximately 56 cm above freeboard,dtc_values_7
17,C,Digital Temperature String Value 8,isGeneral,3,DS28EAOO temperature chip located approximately 54 cm above freeboard,dtc_values_8
18,C,Digital Temperature String Value 9,isGeneral,3,DS28EAOO temperature chip located approximately 52 cm above freeboard,dtc_values_9
19,C,Digital Temperature String Value 10,isGeneral,3,DS28EAOO temperature chip located approximately 50 cm above freeboard,dtc_values_10
20,C,Digital Temperature String Value 11,isGeneral,3,DS28EAOO temperature chip located approximately 48 cm above freeboard,dtc_values_11
21,C,Digital Temperature String Value 12,isGeneral,3,DS28EAOO temperature chip located approximately 46 cm above freeboard,dtc_values_12
22,C,Digital Temperature String Value 13,isGeneral,3,DS28EAOO temperature chip located approximately 44 cm above freeboard,dtc_values_13
23,C,Digital Temperature String Value 14,isGeneral,3,DS28EAOO temperature chip located approximately 42 cm above freeboard,dtc_values_14
24,C,Digital Temperature String Value 15,isGeneral,3,DS28EAOO temperature chip located approximately 40 cm above freeboard,dtc_values_15
25,C,Digital Temperature String Value 16,isGeneral,3,DS28EAOO temperature chip located approximately 38 cm above freeboard,dtc_values_16
26,C,Digital Temperature String Value 17,isGeneral,3,DS28EAOO temperature chip located approximately 36 cm above freeboard,dtc_values_17
27,C,Digital Temperature String Value 18,isGeneral,3,DS28EAOO temperature chip located approximately 34 cm above freeboard,dtc_values_18
28,C,Digital Temperature String Value 19,isGeneral,3,DS28EAOO temperature chip located approximately 32 cm above freeboard,dtc_values_19
29,C,Digital Temperature String Value 20,isGeneral,3,DS28EAOO temperature chip located approximately 30 cm above freeboard,dtc_values_20
30,C,Digital Temperature String Value 21,isGeneral,3,DS28EAOO temperature chip located approximately 28 cm above freeboard,dtc_values_21
31,C,Digital Temperature String Value 22,isGeneral,3,DS28EAOO temperature chip located approximately 26 cm above freeboard,dtc_values_22
32,C,Digital Temperature String Value 23,isGeneral,3,DS28EAOO temperature chip located approximately 24 cm above freeboard,dtc_values_23
33,C,Digital Temperature String Value 24,isGeneral,3,DS28EAOO temperature chip located approximately 22 cm above freeboard,dtc_values_24
34,C,Digital Temperature String Value 25,isGeneral,3,DS28EAOO temperature chip located approximately 20 cm above freeboard,dtc_values_25
35,C,Digital Temperature String Value 26,isGeneral,3,DS28EAOO temperature chip located approximately 18 cm above freeboard,dtc_values_26
36,C,Digital Temperature String Value 27,isGeneral,3,DS28EAOO temperature chip located approximately 16 cm above freeboard,dtc_values_27
37,C,Digital Temperature String Value 28,isGeneral,3,DS28EAOO temperature chip located approximately 14 cm above freeboard,dtc_values_28
38,C,Digital Temperature String Value 29,isGeneral,3,DS28EAOO temperature chip located approximately 12 cm above freeboard,dtc_values_29
39,C,Digital Temperature String Value 30,isGeneral,3,DS28EAOO temperature chip located approximately 10 cm above freeboard,dtc_values_30
40,C,Digital Temperature String Value 31,isGeneral,3,DS28EAOO temperature chip located approximately 8 cm above freeboard,dtc_values_31
41,C,Digital Temperature String Value 32,isGeneral,3,DS28EAOO temperature chip located approximately 6 cm above freeboard,dtc_values_32
42,C,Digital Temperature String Value 33,isGeneral,3,DS28EAOO temperature chip located approximately 4 cm above freeboard,dtc_values_33
43,C,Digital Temperature String Value 34,isGeneral,3,DS28EAOO temperature chip located approximately 2 cm above freeboard,dtc_values_34
44,C,Digital Temperature String Value 35,isGeneral,3,DS28EAOO temperature chip located approximately 0 cm above freeboard,dtc_values_35
45,C,Digital Temperature String Value 36,isGeneral,3,DS28EAOO temperature chip located approximately 2 cm below freeboard,dtc_values_36
46,C,Digital Temperature String Value 37,isGeneral,3,DS28EAOO temperature chip located approximately 4 cm below freeboard,dtc_values_37
47,C,Digital Temperature String Value 38,isGeneral,3,DS28EAOO temperature chip located approximately 6 cm below freeboard,dtc_values_38
48,C,Digital Temperature String Value 39,isGeneral,3,DS28EAOO temperature chip located approximately 8 cm below freeboard,dtc_values_39
49,C,Digital Temperature String Value 40,isGeneral,3,DS28EAOO temperature chip located approximately 10 cm below freeboard,dtc_values_40
50,C,Digital Temperature String Value 41,isGeneral,3,DS28EAOO temperature chip located approximately 12 cm below freeboard,dtc_values_41
51,C,Digital Temperature String Value 42,isGeneral,3,DS28EAOO temperature chip located approximately 14 cm below freeboard,dtc_values_42
52,C,Digital Temperature String Value 43,isGeneral,3,DS28EAOO temperature chip located approximately 16 cm below freeboard,dtc_values_43
53,C,Digital Temperature String Value 44,isGeneral,3,DS28EAOO temperature chip located approximately 18 cm below freeboard,dtc_values_44
54,C,Digital Temperature String Value 45,isGeneral,3,DS28EAOO temperature chip located approximately 20 cm below freeboard,dtc_values_45
55,C,Digital Temperature String Value 46,isGeneral,3,DS28EAOO temperature chip located approximately 22 cm below freeboard,dtc_values_46
56,C,Digital Temperature String Value 47,isGeneral,3,DS28EAOO temperature chip located approximately 24 cm below freeboard,dtc_values_47
57,C,Digital Temperature String Value 48,isGeneral,3,DS28EAOO temperature chip located approximately 26 cm below freeboard,dtc_values_48
58,C,Digital Temperature String Value 49,isGeneral,3,DS28EAOO temperature chip located approximately 28 cm below freeboard,dtc_values_49
59,C,Digital Temperature String Value 50,isGeneral,3,DS28EAOO temperature chip located approximately 30 cm below freeboard,dtc_values_50
60,C,Digital Temperature String Value 51,isGeneral,3,DS28EAOO temperature chip located approximately 32 cm below freeboard,dtc_values_51
61,C,Digital Temperature String Value 52,isGeneral,3,DS28EAOO temperature chip located approximately 34 cm below freeboard,dtc_values_52
62,C,Digital Temperature String Value 53,isGeneral,3,DS28EAOO temperature chip located approximately 36 cm below freeboard,dtc_values_53
63,C,Digital Temperature String Value 54,isGeneral,3,DS28EAOO temperature chip located approximately 38 cm below freeboard,dtc_values_54
64,C,Digital Temperature String Value 55,isGeneral,3,DS28EAOO temperature chip located approximately 40 cm below freeboard,dtc_values_55
65,C,Digital Temperature String Value 56,isGeneral,3,DS28EAOO temperature chip located approximately 42 cm below freeboard,dtc_values_56
66,C,Digital Temperature String Value 57,isGeneral,3,DS28EAOO temperature chip located approximately 44 cm below freeboard,dtc_values_57
